Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
77628ee8-e6a7-4902-a191-347ac7d02f4d,2018-04-22 12:29:48,Running,,4.12,35:28,8:36,6.97,241.0,46,,"","",2018-04-22-122948.gpx
f9b6e338-db73-451b-af14-0eed0a7e9c59,2018-04-20 07:00:42,Running,,4.80,42:01,8:45,6.86,277.0,45,,"","",2018-04-20-070042.gpx
e899e506-4c0b-4500-bd31-17d50af25ed0,2018-04-17 07:13:54,Running,,4.67,38:31,8:15,7.27,281.0,25,,"","",2018-04-17-071354.gpx
958c4bf8-8729-439c-ac13-d6277710258a,2018-04-10 08:56:51,Running,,4.00,36:29,9:07,6.58,238.0,39,,"","",2018-04-10-085651.gpx
45906600-e04f-48cf-b28e-99cdaaac5fe6,2018-04-08 08:54:26,Running,,3.27,32:26,9:55,6.06,189.0,15,,"","",2018-04-08-085426.gpx
4ece3c41-9306-425f-889b-268fc31ba4a2,2018-04-06 06:42:47,Running,,4.98,42:28,8:32,7.04,303.0,34,,"","",2018-04-06-064247.gpx
f70e66eb-c686-42c9-b3a9-ba8806b15976,2018-04-03 17:53:26,Running,,4.29,36:10,8:26,7.11,253.0,21,,"","",2018-04-03-175326.gpx
4130f720-3663-4f5f-a9f4-090570e9dda2,2018-03-31 07:57:17,Running,,5.17,42:27,8:13,7.30,303.0,36,,"","",2018-03-31-075717.gpx
1638eb99-8a6d-4d84-bfac-9b71412ccf54,2018-03-29 17:45:01,Running,,4.88,40:21,8:16,7.25,287.0,33,,"","",2018-03-29-174501.gpx
d11123fc-3434-4908-968f-6c30e1a45633,2018-03-27 06:54:39,Running,,4.41,37:44,8:34,7.01,262.0,35,,"","",2018-03-27-065439.gpx
f295e06b-465c-4095-8a8f-a9858d2e2e32,2018-03-24 08:53:49,Running,,3.50,30:15,8:39,6.94,206.0,18,,"","",2018-03-24-085349.gpx
2926bf19-13fb-4271-90d1-4b90d3dc0c2d,2018-03-20 07:09:44,Running,,4.50,36:50,8:11,7.33,269.0,31,,"","",2018-03-20-070944.gpx
c38bff40-3baa-4750-bae2-cabef51e2227,2018-03-17 12:36:57,Running,,4.28,37:56,8:52,6.77,249.0,35,,"","",2018-03-17-123657.gpx
68a0a997-578d-4ebf-a808-caad408da4da,2018-03-15 18:14:18,Running,,3.67,32:44,8:55,6.73,209.0,18,,"","",2018-03-15-181418.gpx
e2846ee8-c654-4398-9e30-216872de1226,2018-03-13 06:50:08,Running,,4.53,38:13,8:26,7.11,262.0,28,,"","",2018-03-13-065008.gpx
09ef9705-b37b-4392-812a-98f845328597,2018-03-08 18:46:06,Running,,3.36,30:13,8:59,6.67,196.0,27,,"","",2018-03-08-184606.gpx
9696c491-65d2-493b-a34f-e3fda0e090dd,2018-03-06 06:40:57,Running,,3.51,31:54,9:05,6.61,204.0,30,,"","",2018-03-06-064057.gpx
