,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk
102.0,-0.17375,-0.99,-0.01,0.0,-0.004375,-0.004375,0.06437500000000002,-0.086875,-0.03,1008.723125,-12.93,52.59,-25.68,118.95875,100.0425,-10.0225,80.57,0,0,0,1,0
102.05000000000001,-0.18,-0.99,-0.01,0.0,-0.01,-0.01,-0.07,-0.04,-0.03,1008.73,-13.14,52.68,-25.86,119.01,100.00999999999999,-9.995000000000001,80.57,0,0,0,1,0
102.10000000000001,-0.18,-0.9900000000000001,-0.019999999999999997,0.0,-0.0014285714285714286,-0.009999999999999998,-0.04142857142857144,-0.06857142857142855,-0.05142857142857144,1008.7278571428569,-13.362857142857141,53.29285714285716,-25.41428571428571,119.07357142857141,99.995,-9.977142857142857,79.63785714285713,0,0,0,1,0
102.15,-0.18000000000000002,-0.9986666666666667,-0.011333333333333336,-0.007333333333333332,0.007333333333333332,-0.01,-0.024000000000000007,-0.09200000000000001,-0.026666666666666672,1008.7199999999997,-13.187999999999995,53.00399999999999,-25.716000000000005,119.16866666666668,99.97866666666667,-9.957333333333334,79.11999999999998,0,0,0,1,0
102.2,-0.17499999999999996,-0.9950000000000001,-0.009999999999999998,0.005,-0.005,-0.009999999999999998,-0.013333333333333334,-0.07333333333333335,0.006666666666666667,1008.7199999999998,-13.29,52.970000000000006,-25.950000000000003,119.25416666666666,99.96166666666669,-9.941666666666668,79.12,0,0,0,1,0
102.25,-0.16999999999999998,-0.996,-0.01,0.014666666666666665,-0.005333333333333333,-0.005333333333333333,0.0033333333333333335,-0.06333333333333334,0.023333333333333338,1008.7199999999997,-13.223999999999997,53.300000000000004,-25.627999999999997,119.32866666666662,99.93733333333336,-9.912666666666665,79.11999999999998,0,0,0,1,0
102.30000000000001,-0.17,-1.0,-0.009999999999999998,0.015833333333333338,-0.004166666666666667,0.0,0.008333333333333333,-0.1508333333333333,-0.01,1008.7224999999999,-12.96,53.46000000000001,-25.979999999999993,119.33333333333331,99.92,-9.900000000000002,79.12,0,0,0,1,0
102.35000000000001,-0.16999999999999998,-1.0,-0.009999999999999998,0.009999999999999998,-0.009999999999999998,0.0,-0.009999999999999998,-0.15999999999999998,-0.039999999999999994,1008.7299999999999,-12.78,53.34000000000001,-26.639999999999997,119.33999999999999,99.91199999999999,-9.894,79.12,0,0,0,1,0
102.4,-0.16999999999999998,-0.9900000000000001,-0.009999999999999998,0.009999999999999998,-0.0014285714285714286,0.0,-0.017142857142857137,-0.11000000000000003,0.0021428571428571434,1008.7299999999998,-13.169999999999996,53.34000000000002,-26.082857142857147,119.36285714285712,99.89357142857146,-9.878571428571428,78.17,0,0,0,1,0
102.45,-0.16999999999999998,-0.9984615384615385,-0.009999999999999998,0.009999999999999998,-0.006923076923076922,0.0,0.01769230769230769,-0.0953846153846154,-0.006153846153846154,1008.7299999999998,-12.646153846153844,52.739999999999995,-26.547692307692305,119.33230769230767,99.88230769230768,-9.866923076923076,77.22000000000001,0,0,0,1,0
102.5,-0.1775,-0.9924999999999999,-0.01,0.01,-0.01625,-0.00625,0.0,-0.095,0.0,1008.73,-12.76875,53.096250000000005,-26.205,119.343125,99.84875,-9.835625,77.22,0,0,0,1,0
102.55000000000001,-0.17999999999999997,-0.9963636363636365,-0.009999999999999998,0.005454545454545454,-0.015454545454545459,-0.005454545454545454,-0.052727272727272734,-0.08999999999999998,0.022727272727272728,1008.7299999999999,-12.76909090909091,53.470909090909096,-25.881818181818186,119.34181818181816,99.83181818181819,-9.819999999999999,77.22000000000001,0,0,0,1,0
102.60000000000001,-0.18,-1.0,-0.009999999999999998,0.0035714285714285718,-0.0064285714285714285,0.0,-0.06000000000000002,-0.09,0.023571428571428573,1008.7299999999998,-12.762857142857145,53.50285714285713,-25.74857142857143,119.33999999999996,99.83142857142856,-9.819999999999997,77.22000000000001,0,0,0,1,0
102.65,-0.18,-1.0,-0.009999999999999998,0.009999999999999998,0.0,0.0,-0.06900000000000002,-0.09,0.011,1008.7299999999999,-12.9,53.4,-25.68,119.34999999999998,99.83000000000001,-9.819999999999999,77.22,0,0,0,1,0
102.7,-0.16999999999999998,-0.9900000000000001,0.0,0.009999999999999998,0.008571428571428568,0.0,-0.04142857142857144,-0.06142857142857145,0.031428571428571424,1008.7299999999998,-12.844285714285716,53.51142857142857,-25.958571428571435,119.36428571428569,99.83,-9.819999999999997,77.1042857142857,0,0,0,1,0
