,Unnamed: 0,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,Gain_mixture
802,40.1,0.00444444444444,-1.42666666667,-0.377777777778,0.277777777778,0.798888888889,0.223333333333,2.89333333333,-3.99222222222,-4.71166666667,1008.545,10.11,25.8066666667,-28.1566666667,177.038888889,72.5755555556,-12.0427777778,94.93,0,0,0,0,1,0.000120067850158
803,40.15,0.163846153846,-1.39461538462,-0.315384615385,-1.37076923077,0.277692307692,0.0946153846154,2.53307692308,-4.19461538462,-5.13461538462,1008.56,11.6492307692,25.7907692308,-29.0307692308,178.520769231,76.0046153846,-11.46,94.93,0,0,0,0,1,0.000120067850158
804,40.2,-0.210625,-1.544375,0.06125,-2.485,-0.24125,-0.72875,3.84375,-5.066875,-1.39625,1008.645,11.92875,27.7575,-26.7375,180.7575,87.22,-8.05875,94.41625,0,0,0,0,1,0.000167158410204
805,40.25,-0.587333333333,-1.61733333333,0.0493333333333,-2.644,0.1,-1.22,-5.524,-6.62466666667,2.63133333333,1008.73,10.8,30.932,-22.436,187.231333333,98.8573333333,-3.76666666667,90.82,0,0,0,0,1,0.000886153117137
806,40.3,-0.465454545455,-1.46727272727,-0.189090909091,-2.14,1.0,-1.22,-5.02,-5.10272727273,0.0618181818182,1008.73,9.20181818182,33.1254545455,-19.1781818182,196.357272727,103.334545455,-0.139090909091,90.82,0,0,0,0,1,0.000886153117137
807,40.35,-0.2025,-0.904375,0.091875,-1.48,-0.49,-1.34,-2.745,-0.49625,3.04,1008.73,7.62,36.18,-14.76,197.94,106.34375,1.568125,90.82,0,0,0,0,1,0.000886153117137
808,40.4,-0.143333333333,-0.521333333333,0.154,-2.63733333333,-2.03,-0.341333333333,-1.61466666667,3.438,4.87933333333,1008.73933333,2.64,38.22,-9.96,189.018,110.519333333,0.104,90.82,0,0,0,0,1,0.000886153117137
809,40.45,-0.135,-0.412857142857,0.122857142857,-1.32,-1.94714285714,-0.334285714286,-0.890714285714,4.79857142857,4.805,1008.75,1.41428571429,38.8328571429,-5.95285714286,177.694285714,112.335,-2.72928571429,90.82,0,0,0,0,1,0.000886153117137
810,40.5,-0.1625,-0.30375,-0.0125,0.280625,-1.51,-0.405,-0.92,5.92,4.11375,1008.615,0.3675,38.9625,-3.81,169.761875,111.626875,-4.026875,90.82,0,0,0,0,1,0.000886153117137
811,40.55,-0.117142857143,-0.707857142857,-0.612857142857,1.05071428571,-0.862142857143,-0.386428571429,-0.687142857143,6.47428571429,0.787857142857,1008.48,-0.214285714286,38.82,-3.93428571429,166.576428571,107.620714286,-3.95,90.7735714286,0,0,0,0,1,0.000899021102522
812,40.6,-0.122777777778,-1.50388888889,-1.18222222222,0.307777777778,-0.625,-0.29,-0.79,-6.09055555556,-10.9094444444,1008.48,-1.06666666667,38.56,-6.07333333333,166.199444444,108.164444444,-3.605,90.77,0,0,0,0,1,0.000900012177437
813,40.65,0.08,-1.04,-0.39,-1.44,-1.73,-0.29,1.13222222222,-1.81777777778,-1.66333333333,1008.48,-2.7,38.7,-6.96,162.366666667,112.613333333,-3.94444444444,90.77,0,0,0,0,1,0.000900012177437
814,40.7,-0.0752941176471,-0.810588235294,-0.698235294118,-0.0864705882353,-0.972941176471,-0.473529411765,0.355294117647,-0.445294117647,-1.45294117647,1008.50058824,-3.75882352941,39.1235294118,-3.78352941176,160.935882353,115.008823529,-3.52647058824,90.77,0,0,0,0,1,0.000900012177437
815,40.75,-0.116,-1.03,0.257333333333,-0.205333333333,-0.366,-0.632666666667,-0.872,3.24133333333,1.96066666667,1008.53,-4.316,38.972,-3.048,164.854,114.781333333,-1.50533333333,90.77,0,0,0,0,1,0.000900012177437
816,40.8,-0.003125,-0.42875,0.67625,2.9,2.5475,-0.718125,0.73375,7.431875,10.4325,1008.68625,-5.055,38.265,-3.72,166.31875,108.5575,-1.475,90.77,0,0,0,0,1,0.000900012177437
817,40.85,0.0564705882353,-1.17764705882,0.21,3.11882352941,2.09470588235,-0.0994117647059,1.92470588235,-4.97235294118,6.57882352941,1008.78,-5.36470588235,37.9835294118,-7.34823529412,170.879411765,97.4435294118,-0.955882352941,89.92,0,0,0,0,1,0.00113656803848
818,40.9,-0.278888888889,-0.581111111111,-0.0755555555556,1.98,0.57,0.47,-2.24888888889,4.03777777778,-0.776666666667,1008.78,-5.26,37.8266666667,-11.7733333333,169.926666667,90.3088888889,-2.34555555556,89.92,0,0,0,0,1,0.00113656803848
819,40.95,-0.0806666666667,-0.897333333333,0.0786666666667,1.87,2.17,0.58,-0.581333333333,1.706,-0.064,1008.78,-3.66,37.08,-16.68,172.682666667,84.7313333333,-3.82866666667,89.92,0,0,0,0,1,0.00113656803848
820,41.0,-0.009375,-0.908125,-0.020625,1.24,1.70625,0.51,0.810625,0.561875,-1.129375,1008.745,-0.735,34.83,-20.44875,175.285625,80.814375,-5.6725,89.92,0,0,0,0,1,0.00113656803848
821,41.05,0.129333333333,-0.862,0.052,1.48333333333,1.4,0.46,1.59066666667,1.00466666667,-1.61133333333,1008.7,1.38,33.24,-23.196,176.831333333,77.754,-7.11666666667,89.92,0,0,0,0,1,0.00113656803848
822,41.1,0.136111111111,-1.02,-0.176111111111,1.29666666667,0.766666666667,0.84,3.12555555556,-0.0633333333333,-2.98166666667,1008.61444444,3.85333333333,31.9266666667,-26.03,177.912222222,74.2666666667,-8.65888888889,89.9911111111,0,0,0,0,1,0.00111702493099
823,41.15,0.235,-1.25,-0.27,0.59,0.65,0.815,3.49583333333,-2.28333333333,-6.35083333333,1008.56,6.145,30.385,-27.555,177.940833333,73.9308333333,-10.4108333333,90.56,0,0,0,0,1,0.000958522187264
824,41.2,0.22,-1.33,-0.29,0.06,0.79,0.59,3.84,-3.55454545455,-4.60363636364,1008.56,8.50909090909,28.6854545455,-28.4563636364,179.47,75.5372727273,-10.2881818182,90.56,0,0,0,0,1,0.000958522187264
825,41.25,0.1725,-1.48875,-0.084375,-1.22,0.8,0.21,3.491875,-4.7075,-2.326875,1008.56,10.8,28.14,-28.02,181.03375,78.8225,-9.29625,90.56,0,0,0,0,1,0.000958522187264
826,41.3,-0.681875,-1.19875,0.13625,-2.463125,0.8325,-0.96,-2.26375,-3.480625,1.12375,1008.590625,10.485,30.135,-24.345,183.85,90.459375,-6.21,90.56,0,0,0,0,1,0.000958522187264
827,41.35,-0.426470588235,-1.42529411765,0.0170588235294,-2.29117647059,1.36,-0.985294117647,-5.53235294118,-3.00352941176,2.44647058824,1008.63,9.50823529412,32.3258823529,-19.9658823529,191.841764706,100.214705882,-3.05235294118,90.56,0,0,0,0,1,0.000958522187264
828,41.4,-0.237857142857,-1.25,0.0407142857143,-1.85714285714,0.37,-1.02428571429,-2.51857142857,-3.85642857143,2.41428571429,1008.67571429,8.15571428571,35.1257142857,-14.1942857143,199.547142857,105.012142857,-0.600714285714,90.8314285714,0,0,0,0,1,0.000882990419934
829,41.45,-0.198,-0.787333333333,0.121333333333,-1.972,-0.782,-0.87,-2.24866666667,-1.06066666667,3.75,1008.71,6.64,36.492,-9.948,198.570666667,108.388,0.0786666666667,92.46,0,0,0,0,1,0.000475217599136
830,41.5,-0.147142857143,-0.483571428571,0.0821428571429,-2.02642857143,-1.85214285714,-0.548571428571,-1.77928571429,4.81071428571,4.09071428571,1008.71,5.46,36.9514285714,-7.13142857143,192.141428571,111.460714286,-1.08571428571,92.46,0,0,0,0,1,0.000475217599136
831,41.55,-0.01,-0.45,0.17,-0.95,-1.97,-0.47,0.139166666667,4.545,4.995,1008.71,5.1,37.98,-3.48,184.555,111.348333333,-2.46333333333,92.46,0,0,0,0,1,0.000475217599136
832,41.6,-0.0741176470588,-0.127058823529,-0.0247058823529,0.594117647059,-1.33470588235,-0.178823529412,0.05,6.69117647059,3.78411764706,1008.64411765,3.96352941176,37.4858823529,-2.24470588235,177.838823529,109.962941176,-3.53058823529,92.46,0,0,0,0,1,0.000475217599136
833,41.65,-0.055,-0.667857142857,-0.507857142857,2.57428571429,-0.675714285714,0.177142857143,0.0592857142857,4.63571428571,-1.17857142857,1008.57,3.21857142857,37.38,-4.82142857143,173.575714286,104.257857143,-4.27714285714,92.46,0,0,0,0,1,0.000475217599136
834,41.7,-0.13125,-1.7325,-1.21125,-0.83,-0.3675,-0.52,0.1,-4.215625,-6.915,1008.575,3.585,36.9075,-7.90875,171.406875,103.87,-4.656875,92.46,0,0,0,0,1,0.000475217599136
835,41.75,-0.146,-0.731,-0.599,-2.638,-0.446,-0.718,-1.564,-3.068,-4.192,1008.58,3.708,36.528,-9.672,167.568,109.38,-4.296,94.42,0,0,0,0,1,0.000166769591496
836,41.8,0.035,-1.275,-0.20625,-0.99,-1.27,0.29,0.59125,-0.94625,1.006875,1008.58,1.965,36.45375,-5.37375,162.471875,111.87625,-5.7025,94.42,0,0,0,0,1,0.000166769591496
837,41.85,-0.0378947368421,-0.278947368421,0.614736842105,-0.0236842105263,0.266842105263,-0.263684210526,2.24789473684,4.83842105263,9.51263157895,1008.58,1.74947368421,36.9978947368,-4.26947368421,161.662631579,110.702105263,-5.79736842105,94.42,0,0,0,0,1,0.000166769591496
838,41.9,0.3375,-1.61666666667,0.488333333333,3.26,1.26,-0.21,1.9175,-1.79416666667,6.70833333333,1008.615,1.8,37.2,-5.28,162.115,103.105,-5.64166666667,94.42,0,0,0,0,1,0.000166769591496
839,41.95,-0.244,-0.961333333333,0.0413333333333,2.10866666667,0.0353333333333,0.215333333333,2.07666666667,-4.304,3.76533333333,1008.64,1.72,36.72,-9.88,163.787333333,97.428,-5.10733333333,94.42,0,0,0,0,1,0.000166769591496
840,42.0,-0.12625,-0.97125,-0.003125,1.5525,0.565,0.58875,-2.2925,2.373125,-0.716875,1008.65,2.085,35.4675,-14.17125,161.72875,84.639375,-6.84,94.33,0,0,0,0,1,0.000176294162703
841,42.05,-0.0693333333333,-0.958,-0.0246666666667,1.43266666667,0.874666666667,0.556666666667,1.26933333333,-1.186,-0.31,1008.66,3.288,34.296,-16.872,164.351333333,80.3633333333,-8.31133333333,93.7,0,0,0,0,1,0.000254839513625
842,42.1,-0.181666666667,-0.809444444444,-0.0561111111111,1.44055555556,0.548333333333,0.420555555556,0.522777777778,1.44277777778,-2.21055555556,1008.66,4.84,33.08,-19.68,165.624444444,77.3427777778,-9.63333333333,93.7,0,0,0,0,1,0.000254839513625
843,42.15,-0.29,-0.77,-0.03,1.52,0.53,0.5,-0.91,1.9,-2.1175,1008.66,5.28,31.8,-21.84,165.4,73.7975,-11.7625,93.7,0,0,0,0,1,0.000254839513625
844,42.2,0.10625,-0.95875,-0.07125,1.658125,0.765625,0.654375,1.71125,0.63875,-2.726875,1008.61625,7.13625,29.60625,-24.8775,165.765625,71.479375,-13.166875,93.7,0,0,0,0,1,0.000254839513625
845,42.25,0.29,-1.20466666667,-0.00666666666667,0.7,0.438666666667,0.58,4.57933333333,-1.668,-2.64066666667,1008.56,9.34,28.26,-26.72,167.083333333,70.432,-13.6426666667,93.7,0,0,0,0,1,0.000254839513625
846,42.3,-0.030625,-1.32375,-0.248125,-0.0475,0.3,0.27125,4.564375,-3.7775,-2.48625,1008.61,10.7175,26.74875,-27.675,168.740625,72.359375,-12.57,93.7,0,0,0,0,1,0.000254839513625
847,42.35,-0.0329411764706,-1.26647058824,-0.226470588235,-1.41294117647,0.0458823529412,-0.0647058823529,0.662352941176,-2.66941176471,-3.68529411765,1008.66,11.5094117647,25.9694117647,-27.3917647059,169.93,76.4658823529,-11.5482352941,89.87,0,0,0,0,1,0.00115024337028
848,42.4,0.062,-1.242,-0.049,-2.435,-0.172,-0.337,3.023,-2.666,-1.252,1008.66,11.736,26.592,-26.256,169.737,93.363,-9.259,89.87,0,0,0,0,1,0.00115024337028
849,42.45,-0.541428571429,-1.5,0.0742857142857,-2.57,-0.1,-1.39,-2.96785714286,-4.39357142857,1.56571428571,1008.66,11.16,29.28,-22.8,174.741428571,99.4142857143,-6.35,89.87,0,0,0,0,1,0.00115024337028
850,42.5,-0.345625,-1.300625,-0.09375,-1.9575,1.01125,-1.27625,-3.85125,-4.17875,1.565,1008.68625,9.5025,32.54625,-18.85125,184.504375,102.133125,-2.3525,89.87,0,0,0,0,1,0.00115024337028
851,42.55,-0.213333333333,-1.03466666667,0.0973333333333,-1.65733333333,-0.274666666667,-1.304,-2.418,-1.326,2.84533333333,1008.72,6.48,35.028,-13.572,189.828,105.573333333,0.566,89.87,0,0,0,0,1,0.00115024337028
852,42.6,-0.1575,-0.61125,0.14,-1.91125,-1.4375,-0.5825,-1.878125,2.42875,4.78,1008.646875,3.5925,36.78,-10.17,183.3525,109.125,-0.10375,89.87,0,0,0,0,1,0.00115024337028
853,42.65,-0.0953333333333,-0.446,0.0646666666667,-1.338,-1.756,-0.144,-0.442666666667,4.66466666667,4.082,1008.59,1.964,37.436,-6.936,171.577333333,110.939333333,-3.31533333333,90.8526666667,0,0,0,0,1,0.000877118457096
854,42.7,-0.0918181818182,-0.388181818182,0.0163636363636,-0.18,-1.66,-0.15,-0.00818181818182,5.43090909091,3.55818181818,1008.59,1.26,37.5,-4.44,164.504545455,109.845454545,-4.79909090909,91.21,0,0,0,0,1,0.000779685482697
855,42.75,-0.214666666667,-0.438,-0.21,1.59,-0.83,-0.42,-0.855333333333,5.17733333333,1.462,1008.59,1.484,37.724,-4.384,162.441333333,106.552,-4.67733333333,91.21,0,0,0,0,1,0.000779685482697
856,42.8,-0.13125,-1.751875,-1.253125,0.79375,-0.756875,-0.33875,-0.900625,-2.630625,-6.30125,1008.550625,0.6,36.54,-7.74,161.200625,103.105,-4.349375,91.21,0,0,0,0,1,0.000779685482697
