,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,cluster
<<<<<<< Updated upstream
1970-01-01 00:00:00.000000051,-0.175138888889,-0.98,-0.120972222222,-0.733055555556,-0.657777777778,-0.724861111111,-0.669166666667,-0.135555555556,1.08111111111,1008.66875,11.37,33.4316666667,-15.79,186.721944444,104.519166667,-6.39638888889,80.7206944444,0,0,0,0,1,0
1970-01-01 00:00:00.000000051,-0.117866666667,-0.886,-0.306,0.0577333333333,-0.986666666667,-0.4256,-0.828266666667,0.831866666667,-0.798266666667,1008.6276,1.9408,36.172,-15.7464,176.745733333,102.892133333,-2.5672,82.788,0,0,0,0,1,3
1970-01-01 00:00:00.000000051,-0.0804,-1.01226666667,-0.104933333333,0.5748,-0.00506666666667,0.0362666666667,-0.289733333333,-0.068,0.485066666667,1008.63946667,-1.852,35.5256,-18.5784,169.5416,100.725866667,-3.03466666667,84.91,0,0,0,0,1,0
1970-01-01 00:00:00.000000052,-0.0417808219178,-1.03342465753,0.026301369863,0.456438356164,0.0841095890411,0.214383561644,0.505068493151,-0.38904109589,0.233698630137,1008.68041096,-0.148767123288,31.9043835616,-23.2989041096,166.496164384,87.2139726027,-5.79575342466,83.47,0,0,0,0,1,0
1970-01-01 00:00:00.000000052,-0.0352777777778,-0.994444444444,0.00847222222222,0.16125,-0.189444444444,0.189583333333,0.884305555556,0.00222222222222,-0.355,1008.64305556,1.58916666667,30.5333333333,-25.3308333333,165.11125,82.6386111111,-6.80333333333,85.29,0,0,0,0,1,0
1970-01-01 00:00:00.000000052,-0.15397260274,-1.06657534247,-0.0571232876712,-0.281917808219,0.354246575342,0.184520547945,0.0915068493151,-0.648082191781,-0.877945205479,1008.67712329,4.27643835616,29.5249315068,-27.2852054795,162.789589041,83.677260274,-8.34287671233,84.4009589041,0,0,0,0,1,0
1970-01-01 00:00:00.000000052,-0.25375,-0.9925,-0.161388888889,-1.10458333333,0.759583333333,-0.482361111111,-1.58652777778,-0.28,0.416111111111,1008.65916667,8.1425,35.5425,-18.6341666667,175.740972222,103.848472222,-5.87430555556,82.98875,0,0,0,0,1,0
1970-01-01 00:00:00.000000053,-0.0939189189189,-0.853648648649,-0.348513513514,0.0597297297297,-0.0347297297297,-0.0598648648649,-0.218918918919,0.942972972973,-0.376891891892,1008.57391892,5.79162162162,39.0048648649,-11.3213513514,179.146891892,107.888243243,-4.70824324324,82.0655405405,0,0,0,0,1,3
1970-01-01 00:00:00.000000053,-0.0676315789474,-0.928552631579,-0.350789473684,0.228421052632,-0.015,-0.0889473684211,-0.0657894736842,0.393289473684,-0.789473684211,1008.60105263,4.44789473684,39.2186842105,-12.4902631579,178.3325,107.1675,-4.11131578947,81.9464473684,0,0,0,0,1,3
1970-01-01 00:00:00.000000053,-0.0271232876712,-1.02315068493,-0.0401369863014,0.755890410959,0.472054794521,0.123287671233,0.322602739726,-0.536849315068,1.08931506849,1008.7009589,5.39835616438,37.7309589041,-16.2863013699,184.553835616,99.8365753425,-3.28452054795,80.98,0,0,0,0,1,0
1970-01-01 00:00:00.000000053,-0.0159722222222,-1.01472222222,0.0411111111111,0.675138888889,0.354444444444,0.233194444444,0.632222222222,-0.191805555556,0.10375,1008.68722222,9.50166666667,33.6808333333,-22.4733333333,189.628333333,86.37375,-4.86166666667,81.02,0,0,0,0,1,0
1970-01-01 00:00:00.000000054,-0.023698630137,-1.02383561644,-0.0497260273973,0.231095890411,0.133698630137,0.110821917808,0.766712328767,-0.329589041096,-1.38465753425,1008.68287671,12.0649315068,30.3476712329,-26.3868493151,191.765890411,82.0032876712,-5.57602739726,82.9487671233,0,0,0,0,1,0
1970-01-01 00:00:00.000000054,-0.12875,-1.2275,-0.0855555555556,-1.42152777778,0.788194444444,-0.341944444444,-0.501111111111,-2.26666666667,-0.542361111111,1008.71722222,14.7983333333,31.8225,-22.9125,202.222638889,93.8827777778,-3.11375,82.78375,0,0,0,0,1,5
1970-01-01 00:00:00.000000054,-0.101805555556,-0.674444444444,-0.284861111111,-1.19944444444,-0.735416666667,-0.230555555556,-0.762222222222,1.67263888889,1.95388888889,1008.67833333,11.9791666667,40.5066666667,-3.87916666667,200.301111111,115.154305556,-2.71444444444,83.5654166667,0,0,0,0,1,2
1970-01-01 00:00:00.000000054,-0.0628571428571,-0.853766233766,-0.695194805195,0.272077922078,-0.10961038961,-0.0831168831169,0.0651948051948,0.889350649351,-2.19792207792,1008.67844156,10.4664935065,41.8005194805,-2.14519480519,196.033376623,118.084285714,-3.58623376623,86.7353246753,0,0,0,0,1,3
1970-01-01 00:00:00.000000055,0.0393243243243,-0.84527027027,0.06,1.05121621622,0.908378378378,-0.178783783784,0.444864864865,0.624594594595,3.125,1008.77432432,8.87675675676,41.6627027027,-6.82297297297,210.319324324,107.868783784,0.852702702703,84.76,0,0,0,0,1,0
1970-01-01 00:00:00.000000055,0.11875,-1.03305555556,0.0169444444444,0.99375,1.40458333333,0.333472222222,0.935138888889,-0.342083333333,-0.350277777778,1008.71805556,14.2541666667,37.1191666667,-16.2491666667,230.025972222,85.65125,0.236944444444,95.8044444444,0,0,0,0,1,0
1970-01-01 00:00:00.000000055,-0.0924657534247,-1.26136986301,-0.0638356164384,-1.00383561644,1.36753424658,-0.0758904109589,-0.368082191781,-2.46410958904,-0.924931506849,1008.65136986,23.824109589,32.6243835616,-16.9898630137,240.873013699,88.4873972603,-2.1001369863,94.1535616438,0,0,0,0,1,5
1970-01-01 00:00:00.000000055,-0.123888888889,-0.794166666667,0.0484722222222,-1.54541666667,-0.589583333333,-0.370138888889,-1.21652777778,0.844166666667,3.75847222222,1008.66527778,22.6566666667,34.4075,3.68,248.426944444,109.263194444,-0.395,93.5208333333,0,0,0,0,1,0
1970-01-01 00:00:00.000000056,0.0583561643836,-1.1995890411,-0.536301369863,0.100547945205,-0.275068493151,0.0119178082192,0.375890410959,-1.5898630137,-2.86246575342,1008.64534247,22.2698630137,33.3887671233,2.10164383562,237.25,105.850547945,-2.76232876712,92.0308219178,0,0,0,0,1,3
1970-01-01 00:00:00.000000056,-0.0846753246753,-0.946883116883,0.0281818181818,1.09779220779,-0.0296103896104,0.40025974026,0.068961038961,0.198441558442,1.45064935065,1008.71402597,22.4205194805,30.4846753247,0.118441558442,237.006363636,99.3884415584,-5.03844155844,88.2676623377,0,0,0,0,1,0
1970-01-01 00:00:00.000000056,-0.0472602739726,-0.998493150685,-0.0512328767123,0.794383561644,-0.0580821917808,0.237534246575,0.838082191781,-0.0845205479452,-1.54465753425,1008.73438356,24.9254794521,27.2178082192,-7.42767123288,239.83109589,80.5853424658,-7.51424657534,84.81,0,0,0,0,1,0
1970-01-01 00:00:00.000000056,-0.107916666667,-1.14611111111,-0.0990277777778,-0.889861111111,0.361111111111,-0.0626388888889,0.476388888889,-1.5825,-1.20388888889,1008.79305556,26.5075,23.3466666667,-7.48083333333,241.932361111,86.0947222222,-7.48819444444,81.7475,0,0,0,0,1,0
1970-01-01 00:00:00.000000057,-0.164246575342,-0.941506849315,-0.0883561643836,-1.14684931507,-0.378767123288,-0.610821917808,-1.31945205479,-0.0912328767123,2.02479452055,1008.78849315,24.4479452055,22.9290410959,3.0295890411,249.560136986,106.999726027,-2.96095890411,83.7771232877,0,0,0,0,1,0
1970-01-01 00:00:00.000000057,0.00138888888889,-0.879444444444,-0.52,0.438611111111,-0.144166666667,-0.187638888889,0.236666666667,0.842777777778,-2.13527777778,1008.66611111,23.7583333333,22.8708333333,1.5525,244.815416667,107.035138889,-2.54041666667,83.6683333333,0,0,0,0,1,3
1970-01-01 00:00:00.000000057,-0.107837837838,-0.987297297297,0.00567567567568,0.742297297297,0.751486486486,-0.15527027027,-1.59662162162,-0.34,2.17040540541,1008.74135135,23.9286486486,21.3016216216,-1.95567567568,249.620945946,106.584594595,-0.157162162162,84.8455405405,0,0,0,0,1,0
1970-01-01 00:00:00.000000057,0.0173684210526,-0.971973684211,-0.05,0.800526315789,0.803947368421,0.285263157895,0.449210526316,0.238026315789,-0.152236842105,1008.77078947,24.5644736842,19.305,-2.55552631579,259.768026316,90.8084210526,-1.31355263158,88.4451315789,0,0,0,0,1,0
1970-01-01 00:00:00.000000058,0.0764383561644,-1.07123287671,-0.122054794521,-0.0132876712329,0.716575342466,0.307808219178,1.41397260274,-0.519863013699,-1.51219178082,1008.71657534,25.4178082192,15.3189041096,1.9002739726,268.594383562,87.1583561644,-3.67698630137,85.95,0,0,0,0,1,0
1970-01-01 00:00:00.000000058,-0.198194444444,-1.07555555556,-0.12625,-1.57263888889,0.725,-0.320555555556,-1.74333333333,-1.24944444444,0.995694444444,1008.77,25.6575,12.7925,9.965,283.488333333,104.369583333,-1.38486111111,84.2972222222,0,0,0,0,1,0
1970-01-01 00:00:00.000000058,-0.0575342465753,-0.792739726027,-0.310821917808,0.326164383562,-0.44,-0.283287671233,-0.308904109589,1.60438356164,0.409726027397,1008.63739726,25.2008219178,13.9438356164,10.5016438356,279.221369863,108.506986301,-1.49479452055,85.6367123288,0,0,0,0,1,3
1970-01-01 00:00:00.000000058,-0.0402777777778,-0.998611111111,-0.321805555556,0.143472222222,-0.171805555556,-0.159305555556,-0.2975,-0.320972222222,-0.831527777778,1008.67861111,25.8675,16.1525,5.1175,279.049027778,104.659305556,0.238055555556,85.6358333333,0,0,0,0,1,3
1970-01-01 00:00:00.000000059,0.125416666667,-1.02902777778,-0.0875,0.350416666667,0.11375,0.22125,1.19527777778,-0.0840277777778,0.502916666667,1008.72111111,25.46,17.0875,3.7525,278.716944444,98.1868055556,-0.941666666667,85.6941666667,0,0,0,0,1,0
1970-01-01 00:00:00.000000059,0.0420512820513,-0.978076923077,-0.340512820513,-1.3291025641,0.265,-0.045,0.838717948718,0.954743589744,-0.452692307692,1008.68602564,26.0815384615,16.9738461538,6.23230769231,290.110769231,107.076794872,2.41064102564,87.2133333333,0,0,0,0,1,3
