,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
363.0,-0.1306896551724138,-0.9958620689655172,-0.011724137931034485,0.02206896551724138,-0.05275862068965517,-0.015172413793103454,-0.048965517241379326,-0.046206896551724136,-0.012758620689655177,1014.0755172413797,-7.034482758620688,34.06344827586207,12.916551724137928,28.36103448275862,96.76517241379314,-6.724827586206896,77.39758620689655,0,0,1,0
363.25,-0.07724137931034483,-0.9982758620689655,0.003103448275862069,-0.004137931034482759,-0.01310344827586207,-0.018965517241379314,0.26379310344827583,-0.0017241379310344862,-0.011379310344827583,1014.0800000000004,-6.211034482758621,33.71172413793103,11.348275862068968,30.56896551724138,96.56172413793104,-6.548275862068963,76.96999999999998,0,0,1,0
363.5,-0.1196875,-0.996875,-0.0028125000000000008,-0.0021875,0.0018749999999999997,0.034375,0.037812500000000006,-0.0037500000000000033,0.1025,1014.0887500000001,-6.826874999999999,34.228125000000006,12.320625,30.585,96.11,-6.1071875,85.19,0,0,1,0
363.75,-0.12599999999999997,-1.0006666666666666,-0.017333333333333333,-0.012666666666666666,-0.01966666666666667,-0.017333333333333336,-0.16466666666666666,-0.09466666666666665,-0.10766666666666666,1014.0803333333333,-7.188000000000001,34.028,12.952,27.918666666666663,96.71233333333329,-6.681000000000002,82.16599999999997,0,0,1,0
364.0,-0.09933333333333333,-0.994,-0.022000000000000006,0.01766666666666667,-0.06899999999999998,-0.004333333333333333,0.13166666666666668,0.026,-0.05500000000000001,1014.0699999999999,-7.029999999999999,33.89600000000001,12.976000000000003,28.07033333333333,96.49566666666664,-6.4576666666666656,84.146,0,0,1,0
364.25,-0.12433333333333334,-0.9986666666666665,0.011,-0.06699999999999999,0.07866666666666663,-0.019000000000000003,-0.136,-0.09566666666666666,0.2156666666666666,1014.0710000000001,-7.321999999999997,33.86399999999999,13.461999999999998,27.842333333333336,96.37866666666667,-6.327999999999998,85.51499999999996,0,0,1,0
364.5,-0.10966666666666666,-1.000666666666667,-0.036333333333333336,0.012333333333333328,-0.04266666666666666,-0.003,0.03833333333333332,-0.006666666666666667,-0.18866666666666662,1014.0773333333333,-6.6339999999999995,33.992,13.374000000000004,27.653000000000002,96.49499999999998,-6.440000000000002,84.26833333333333,0,0,1,0
364.75,-0.10999999999999999,-1.0045161290322582,-0.018387096774193555,-0.12999999999999998,0.07838709677419357,-0.04967741935483871,-0.1067741935483871,-0.13516129032258062,0.09354838709677418,1014.0699999999999,-7.650967741935485,33.481935483870956,13.97612903225806,28.12612903225806,96.28161290322576,-6.005806451612901,83.53999999999999,0,0,1,0
365.0,-0.08733333333333333,-0.9893333333333333,-0.07166666666666667,-0.05800000000000001,-0.15666666666666665,0.03966666666666666,0.22533333333333339,0.09466666666666669,-0.04133333333333333,1014.0760000000005,-7.042000000000002,33.16599999999999,15.051999999999998,27.830333333333325,96.80266666666667,-6.049999999999998,81.51000000000003,0,0,1,0
365.25,-0.1003225806451613,-0.9983870967741933,-0.072258064516129,-0.020000000000000004,-0.13935483870967744,-0.028709677419354842,0.04064516129032258,-0.04612903225806452,-0.2525806451612903,1014.0722580645161,-6.735483870967739,33.050322580645165,15.841935483870962,25.137741935483863,96.98483870967738,-6.042580645161293,81.94354838709678,0,0,1,0
